PC1_3d,PC2_3d,PC3_3d,cluster
-14206.50004326043,-0.4541812649171473,-2.7072806144893606,1
-14205.500038454444,-0.49316548461488907,-2.7490541653442775,1
-14204.500036001957,-0.6405860087547024,-2.6026885401099586,1
-14203.500046014973,-0.5346771026387618,-2.809057839575599,1
-14202.500054923035,-0.5320105878085317,-2.7648025092338404,1
-14201.500047309371,-0.9203725271712052,-1.5244183910437907,1
-14200.500044570872,-0.976247996328661,-1.485188488875251,1
-14199.500037996515,-0.9821180563982477,-1.4785418348064019,1
-14198.50004242039,-1.040887148283057,-1.4558563279741674,1
-14197.500036009147,-1.0795088392731107,-1.493822618396479,1
-14196.500005142683,-1.280709853489791,-0.6788157382596911,1
-14195.499812027361,-0.834638520550093,-0.4490505361283019,1
-14194.499990707158,-1.4859761809024756,-0.345419206324621,1
-14193.499945833608,-1.302773487957109,-0.8014440203735975,1
-14192.500010120333,-1.3175172502970356,-1.1818130190808636,1
-14191.49998808647,-1.3582981482603331,-0.8010831062030322,1
-14190.499991821558,-1.3131897025823158,-1.040351765296357,1
-14189.499991833432,-1.2866249306828657,-0.997922234474259,1
-14188.500015006495,-1.0528270890864337,-1.3037560961387054,1
-14187.499985060165,-1.0257386304844005,-1.348271026894681,1
-14186.499986814602,-0.8284892378699212,-1.4776389159204029,1
-14185.499994228967,-0.8719765789627303,-1.5553634305143793,1
-14184.499993466037,-0.9821067394610793,-1.539415762117393,1
-14183.500012457107,-1.1424447860038194,-1.5645878138181808,1
-14182.500024163217,-1.181391491721186,-1.4889747011226626,1
-14181.500013569419,-1.1683171304869708,-1.5873015500296677,1
-14180.49998636369,-1.138905991084412,-1.4407218446712122,1
-14179.499977997883,-1.1658058832223919,-1.9228184257599437,1
-14178.499987898447,-0.9689743983395014,-2.0967414609151813,1
-14177.499987868003,-1.1660147361800148,-2.1007005280532365,1
-14176.499993830143,-0.9334025051308682,-2.1680333167696992,1
-14175.499984326929,-1.0269240626924039,-2.158291145696273,1
-14174.50001267704,-0.837690237219316,-2.3944009545124416,1
-14173.500032276286,-0.7742447379787701,-2.4429261420385378,1
-14172.50001572517,-0.8057441078785594,-2.5472443208149578,1
